CompTotal,Gender,Manager,YearsCode,Age1stCode,YearsCodePro,Education
108000,Man,IC,4,23,3,Bachelor's
115000,Man,IC,10,8,7,Bachelor's
50000,Man,IC,3,30,3,Less than bachelor's
95000,Man,IC,10,16,7,Less than bachelor's
140000,Man,IC,22,13,11,Less than bachelor's
750166,Man,IC,4,18,4,Less than bachelor's
110000,Man,IC,5,12,3,Bachelor's
150000,Man,IC,10,15,5,Master's
120000,Man,IC,8,18,3,Master's
48000,Man,IC,3,29,4,PhD
135000,Man,Manager,35,10,20,Bachelor's
127000,Man,IC,4,18,2,Master's
86000,Man,IC,18,17,10,Bachelor's
87000,Man,IC,4,20,3,Bachelor's
83000,Man,IC,10,13,6,Bachelor's
80000,Man,IC,2,23,Less than 1 year,Bachelor's
95000,Man,IC,2,23,2,Master's
66000,Man,IC,15,10,12,Less than bachelor's
95218,Man,IC,9,8,3,Master's
32000,Woman,IC,9,9,6,Bachelor's
67000,Man,IC,9,12,2,Master's
60000,Man,IC,8,13,2,Less than bachelor's
65000,Man,IC,4,25,1,Bachelor's
59000,Man,IC,5,29,Less than 1 year,Less than bachelor's
90000,Man,IC,4,25,3,Bachelor's
107000,Woman,IC,7,10,6,Bachelor's
145000,Man,IC,8,17,3,Bachelor's
109000,Man,IC,18,14,15,Bachelor's
80000,Man,IC,5,22,4,Bachelor's
80000,Man,IC,4,22,3,Master's
140000,Man,IC,45,18,40,Master's
115000,Man,IC,20,7,14,Bachelor's
90000,Man,IC,10,18,6,Master's
72000,Man,IC,7,17,1,Bachelor's
139000,Man,IC,35,12,30,Bachelor's
82000,Man,IC,2,27,2,Master's
88000,Woman,IC,6,19,1,Bachelor's
75000,Man,IC,8,34,4,Bachelor's
163000,Man,IC,3,14,2,Less than bachelor's
72000,Man,IC,1,18,1,Bachelor's
110000,Man,IC,10,16,7,Bachelor's
80000,Man,IC,10,13,4,Bachelor's
140000,Woman,IC,5,30,5,Master's
65000,Man,IC,1,25,Less than 1 year,Bachelor's
65000,Man,IC,9,12,3,Bachelor's
115000,Man,Manager,23,10,20,Master's
120000,Man,IC,21,10,17,Less than bachelor's
105000,Man,IC,6,26,6,Less than bachelor's
75000,Man,IC,4,19,3,Bachelor's
57000,Man,IC,8,10,3,Less than bachelor's
135000,Man,IC,13,15,8,Bachelor's
108000,Woman,IC,10,12,Less than 1 year,Bachelor's
180000,Man,Manager,23,19,18,Bachelor's
140000,Man,IC,11,14,3,Bachelor's
165000,Man,IC,16,16,13,Bachelor's
75800,Man,IC,27,9,20,Less than bachelor's
75000,Man,IC,15,15,7,Bachelor's
94000,Man,IC,8,14,2,Bachelor's
60000,Man,IC,13,12,4,Bachelor's
2e+05,Man,IC,10,14,8,Less than bachelor's
72000,Man,IC,2,13,1,Less than bachelor's
84000,Man,IC,13,17,10,Master's
78000,Man,IC,14,16,12,Master's
45000,Man,IC,10,13,2,Bachelor's
165000,Man,IC,30,Younger than 5 years,7,Bachelor's
212000,Man,IC,24,19,20,Bachelor's
80000,Man,IC,6,20,3,Bachelor's
225000,Man,IC,21,15,20,Less than bachelor's
160000,Woman,IC,5,12,2,Bachelor's
31241,Man,IC,4,22,2,Less than bachelor's
130000,Man,IC,7,16,2,Master's
140000,Man,IC,21,12,11,Bachelor's
2e+05,Man,Manager,23,13,14,Bachelor's
50000,Man,IC,25,12,10,Less than bachelor's
146000,Man,IC,24,15,19,Less than bachelor's
40000,Man,IC,3,30,Less than 1 year,Bachelor's
119000,Man,IC,13,14,11,Bachelor's
131700,Man,IC,36,8,19,Bachelor's
110000,Man,IC,16,10,10,Bachelor's
8e+05,Man,IC,36,18,32,Bachelor's
350000,Woman,Manager,22,13,20,Less than bachelor's
98000,Man,IC,19,11,11,Bachelor's
50000,Man,IC,12,10,10,Less than bachelor's
106000,Man,IC,7,15,3,Bachelor's
115000,Man,IC,10,16,4,Bachelor's
90000,Woman,IC,6,25,5,Less than bachelor's
80000,Man,IC,10,16,5,Master's
92000,Woman,IC,22,22,18,Bachelor's
105000,Man,IC,10,17,8,Bachelor's
80000,Man,IC,3,28,2,Bachelor's
92000,Woman,IC,10,11,4,Bachelor's
118000,Man,IC,10,30,10,Bachelor's
88000,Man,IC,36,16,27,Bachelor's
80000,Man,IC,5,12,3,Bachelor's
54516,Man,IC,6,18,Less than 1 year,Bachelor's
170000,Man,IC,13,21,4,PhD
60000,Man,IC,2,25,Less than 1 year,Less than bachelor's
110000,Man,IC,35,11,15,Less than bachelor's
54000,Man,IC,5,18,Less than 1 year,NA
90000,Man,IC,21,27,21,Less than bachelor's
144500,Man,IC,10,10,4,Bachelor's
81000,Man,IC,9,24,7,Bachelor's
86000,Man,IC,6,17,4,Bachelor's
95000,Man,IC,25,10,20,PhD
191500,Man,IC,15,15,9,Bachelor's
74000,Man,Manager,6,14,5,Master's
165000,Man,IC,9,16,6,Bachelor's
80000,Man,IC,15,14,15,Less than bachelor's
106000,Man,IC,6,18,3,Bachelor's
105000,Man,IC,28,10,16,Bachelor's
66000,Man,IC,4,10,1,Bachelor's
55000,Man,IC,Less than 1 year,12,Less than 1 year,Bachelor's
133000,Man,IC,15,10,11,Bachelor's
180000,Man,Manager,26,7,26,Bachelor's
130000,Man,IC,13,13,8,Bachelor's
175000,Man,IC,35,11,20,Bachelor's
140000,Man,IC,16,22,10,Master's
205000,Man,IC,37,12,26,Bachelor's
135000,Man,Manager,15,9,10,Bachelor's
70200,Man,IC,19,15,10,Bachelor's
66000,Man,IC,6,18,5,Bachelor's
60000,Man,IC,6,13,2,Bachelor's
135000,Man,IC,19,19,14,Master's
155000,Man,IC,18,21,18,Bachelor's
67500,Woman,IC,15,10,6,Bachelor's
185000,Man,IC,23,13,11,Bachelor's
70000,Man,IC,7,15,4,Master's
52836,Man,IC,1,23,1,Bachelor's
64000,Man,IC,12,17,8,Bachelor's
104000,Man,IC,20,11,10,Bachelor's
140000,Man,IC,7,14,6,Less than bachelor's
135000,Man,Manager,18,15,11,PhD
88000,Man,Manager,5,13,5,Bachelor's
77000,Man,IC,9,18,7,Bachelor's
90000,Man,IC,16,16,10,Bachelor's
130000,Man,IC,38,9,32,Bachelor's
