company	date	price
GOOGL	2020-07-09	1518.660034
GOOGL	2020-07-10	1539.01001
GOOGL	2020-07-13	1512.22998
GOOGL	2020-07-14	1520.859985
GOOGL	2020-07-15	1516.880005
GOOGL	2020-07-16	1514.920044
GOOGL	2020-07-17	1516.849976
GOOGL	2020-07-20	1563.839966
GOOGL	2020-07-21	1555.920044
GOOGL	2020-07-22	1564.849976
GOOGL	2020-07-23	1516.75
GOOGL	2020-07-24	1508.209961
GOOGL	2020-07-27	1529.430054
GOOGL	2020-07-28	1503.650024
GOOGL	2020-07-29	1523.51001
GOOGL	2020-07-30	1538.369995
GOOGL	2020-07-31	1487.949951
